ID,materialsID,quantities,manufactureTime,timeResearchTime,materialResearchTime,copyTime,maxCopyRuns,productID,productQuantity,materialsCount,name
683,"[34, 35, 36, 37]","[24000, 4500, 1875, 375]",6000,2100,2100,4800,30,582,1,4,Bantam Blueprint
684,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,583,1,4,Condor Blueprint
685,"[34, 35, 36, 37]","[24000, 4500, 1875, 375]",6000,2100,2100,4800,30,584,1,4,Griffin Blueprint
686,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,620,1,7,Osprey Blueprint
687,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,621,1,7,Caracal Blueprint
688,"[34, 35, 36, 37, 38, 39, 40, 57478, 57479, 57486]","[8000000, 4000000, 600000, 400000, 12000, 6000, 3000, 200, 1, 100]",18000,6300,6300,14400,10,638,1,10,Raven Blueprint
689,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,585,1,4,Slasher Blueprint
690,"[34, 35, 36, 37]","[35200, 6600, 2750, 550]",6000,2100,2100,4800,30,586,1,4,Probe Blueprint
691,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,587,1,4,Rifter Blueprint
692,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,622,1,7,Stabber Blueprint
693,"[34, 35, 36, 37, 38, 39, 40, 57478, 57479, 57486]","[8000000, 4000000, 600000, 400000, 12000, 6000, 3000, 200, 1, 100]",18000,6300,6300,14400,10,639,1,10,Tempest Blueprint
784,"[11459, 9836, 3814, 11459, 3814, 11399, 3689, 483, 11541, 11689, 11482, 11459, 3812]","[1, 1, 3, 1, 3, 1, 8, 1, 5, 3, 1, 1, 6]",2340,819,819,1872,10,482,1,13,Miner II Blueprint
785,"[34, 35, 36]","[1324, 481, 119]",900,315,315,720,200,483,1,3,Miner I Blueprint
786,"[34, 35]","[471, 716]",900,315,315,720,200,499,1,2,Light Missile Launcher I Blueprint
788,"[34, 35, 36]","[3258, 2926, 107]",1800,630,630,1440,100,501,1,3,Heavy Missile Launcher I Blueprint
790,"[40, 34, 35, 38, 39]","[22, 122, 1342, 9, 4]",2700,945,945,2160,60,503,1,5,Torpedo Launcher I Blueprint
803,"[34, 35, 36, 39]","[3084, 472, 68, 4]",900,315,315,720,200,202,100,4,Mjolnir Cruise Missile Blueprint
804,"[34, 35, 36, 38, 39]","[1867, 144, 17, 2, 4]",900,315,315,720,200,203,100,5,Scourge Cruise Missile Blueprint
805,"[34, 35, 39]","[1842, 707, 4]",900,315,315,720,200,204,100,3,Inferno Cruise Missile Blueprint
806,"[34, 36, 37, 39]","[1447, 81, 4, 2]",900,315,315,720,200,205,100,4,Nova Cruise Missile Blueprint
807,"[34, 35, 38]","[351, 119, 1]",600,210,210,480,300,206,100,3,Nova Heavy Missile Blueprint
808,"[34, 35, 38]","[496, 220, 2]",600,210,210,480,300,207,100,3,Mjolnir Heavy Missile Blueprint
809,"[34, 35, 36, 38]","[716, 2, 6, 3]",600,210,210,480,300,208,100,4,Inferno Heavy Missile Blueprint
810,"[34, 38]","[820, 2]",600,210,210,480,300,209,100,2,Scourge Heavy Missile Blueprint
811,"[34, 35, 36]","[69, 43, 2]",300,105,105,240,600,210,100,3,Scourge Light Missile Blueprint
812,"[34, 35]","[58, 72]",300,105,105,240,600,211,100,2,Inferno Light Missile Blueprint
813,"[34, 35, 36]","[150, 18, 12]",300,105,105,240,600,212,100,3,Mjolnir Light Missile Blueprint
814,"[34, 35, 36]","[54, 16, 6]",300,105,105,240,600,213,100,3,Nova Light Missile Blueprint
819,"[34, 35]","[231, 220]",900,315,315,720,200,484,1,2,125mm Gatling AutoCannon I Blueprint
820,"[34, 35, 39]","[996, 300, 2]",900,315,315,720,200,485,1,3,150mm Light AutoCannon I Blueprint
821,"[34, 35, 36, 37]","[1667, 144, 83, 22]",900,315,315,720,200,486,1,4,200mm AutoCannon I Blueprint
822,"[34, 35, 36]","[1596, 690, 144]",900,315,315,720,200,487,1,3,250mm Light Artillery Cannon I Blueprint
823,"[34, 35, 36, 39]","[2729, 148, 171, 4]",900,315,315,720,200,488,1,4,280mm Howitzer Artillery I Blueprint
824,"[34, 35, 36]","[827, 598, 493]",1800,630,630,1440,100,489,1,3,Dual 180mm AutoCannon I Blueprint
825,"[40, 34, 35, 36]","[2, 4453, 1287, 1199]",1800,630,630,1440,100,490,1,4,220mm Vulcan AutoCannon I Blueprint
826,"[34, 35, 36, 38]","[4529, 1643, 2413, 1]",1800,630,630,1440,100,491,1,4,425mm AutoCannon I Blueprint
827,"[34, 35, 36, 37, 38]","[9089, 2786, 2827, 14, 1]",1800,630,630,1440,100,492,1,5,650mm Artillery Cannon I Blueprint
828,"[34, 35, 36, 37, 38]","[9133, 2981, 3599, 2, 18]",1800,630,630,1440,100,493,1,5,720mm Howitzer Artillery I Blueprint
829,"[40, 34, 35, 36, 39]","[8, 13684, 4117, 3851, 2]",2700,945,945,2160,60,494,1,5,Dual 425mm AutoCannon I Blueprint
830,"[34, 35, 36, 37, 38, 39]","[45551, 12150, 6060, 1596, 126, 16]",2700,945,945,2160,60,495,1,6,Dual 650mm Repeating Cannon I Blueprint
831,"[34, 35, 36, 37, 38, 39, 40]","[68307, 17839, 7197, 1951, 234, 12, 26]",2700,945,945,2160,60,496,1,7,800mm Repeating Cannon I Blueprint
832,"[34, 35, 36, 37, 38, 39, 40]","[91067, 23527, 8613, 2294, 324, 18, 52]",2700,945,945,2160,60,497,1,7,1200mm Artillery Cannon I Blueprint
833,"[34, 35, 36, 37, 38, 39, 40]","[113880, 29214, 9747, 2650, 411, 42, 74]",2700,945,945,2160,60,498,1,7,1400mm Howitzer Artillery I Blueprint
834,"[34, 35]","[231, 220]",900,315,315,720,200,450,1,2,Gatling Pulse Laser I Blueprint
835,"[34, 35, 36, 38, 39]","[1102, 113, 4, 2, 2]",900,315,315,720,200,451,1,5,Dual Light Pulse Laser I Blueprint
836,"[34, 35, 36, 37, 39]","[1742, 6, 78, 13, 2]",900,315,315,720,200,452,1,5,Dual Light Beam Laser I Blueprint
837,"[34, 35, 36, 37]","[1556, 1158, 3, 7]",900,315,315,720,200,453,1,4,Small Focused Pulse Laser I Blueprint
838,"[34, 35, 36, 37, 39]","[2200, 809, 21, 4, 4]",900,315,315,720,200,454,1,5,Small Focused Beam Laser I Blueprint
839,"[34, 35, 36]","[9, 598, 493]",1800,630,630,1440,100,455,1,3,Quad Light Beam Laser I Blueprint
840,"[40, 34, 35, 36]","[2, 4453, 1287, 1199]",1800,630,630,1440,100,456,1,4,Focused Medium Pulse Laser I Blueprint
841,"[34, 35, 36, 38]","[4529, 1643, 2413, 1]",1800,630,630,1440,100,457,1,4,Focused Medium Beam Laser I Blueprint
842,"[34, 35, 36, 37, 38]","[9089, 2786, 2827, 14, 1]",1800,630,630,1440,100,458,1,5,Heavy Pulse Laser I Blueprint
843,"[34, 35, 36, 37, 38]","[9133, 2981, 3599, 2, 18]",1800,630,630,1440,100,459,1,5,Heavy Beam Laser I Blueprint
844,"[40, 34, 35, 36, 39]","[8, 13684, 4117, 3851, 2]",2700,945,945,2160,60,460,1,5,Dual Heavy Pulse Laser I Blueprint
845,"[34, 35, 36, 37, 38, 39]","[45551, 12150, 6060, 1596, 126, 16]",2700,945,945,2160,60,461,1,6,Dual Heavy Beam Laser I Blueprint
846,"[34, 35, 36, 37, 38, 39, 40]","[68307, 17839, 7197, 1951, 234, 12, 26]",2700,945,945,2160,60,462,1,7,Mega Pulse Laser I Blueprint
847,"[34, 35, 36, 37, 38, 39, 40]","[91067, 23527, 8613, 2294, 324, 18, 52]",2700,945,945,2160,60,463,1,7,Mega Beam Laser I Blueprint
848,"[34, 35, 36, 37, 38, 39, 40]","[113880, 29214, 9747, 2650, 411, 42, 74]",2700,945,945,2160,60,464,1,7,Tachyon Beam Laser I Blueprint
879,"[34, 35]","[27, 21]",300,105,105,240,600,178,100,2,Carbonized Lead S Blueprint
880,"[34, 35]","[38, 32]",300,105,105,240,600,179,100,2,Nuclear S Blueprint
881,"[34, 35, 37]","[58, 23, 1]",300,105,105,240,600,180,100,3,Proton S Blueprint
882,"[34, 36, 37]","[118, 1, 2]",300,105,105,240,600,181,100,3,Depleted Uranium S Blueprint
883,"[34, 35, 36]","[58, 64, 1]",300,105,105,240,600,182,100,3,Titanium Sabot S Blueprint
884,"[34, 35, 37]","[162, 3, 3]",300,105,105,240,600,183,100,3,Fusion S Blueprint
885,"[34, 35, 37]","[164, 17, 3]",300,105,105,240,600,184,100,3,Phased Plasma S Blueprint
886,"[34, 35, 38]","[204, 17, 1]",300,105,105,240,600,185,100,3,EMP S Blueprint
887,"[34, 35, 37]","[164, 17, 3]",600,210,210,480,300,186,100,3,Carbonized Lead M Blueprint
888,"[34, 35, 36]","[116, 129, 2]",600,210,210,480,300,187,100,3,Nuclear M Blueprint
889,"[34, 35]","[139, 194]",600,210,210,480,300,188,100,2,Proton M Blueprint
890,"[34, 35, 36, 37]","[290, 119, 14, 2]",600,210,210,480,300,189,100,4,Depleted Uranium M Blueprint
891,"[34, 35]","[288, 254]",600,210,210,480,300,190,100,2,Titanium Sabot M Blueprint
892,"[34, 35, 36]","[239, 318, 1]",600,210,210,480,300,191,100,3,Fusion M Blueprint
893,"[34, 35, 36, 37]","[668, 36, 4, 14]",600,210,210,480,300,192,100,4,Phased Plasma M Blueprint
894,"[34, 35, 36]","[449, 417, 7]",600,210,210,480,300,193,100,3,EMP M Blueprint
895,"[34, 35, 37]","[249, 198, 1]",900,315,315,720,200,194,100,3,Carbonized Lead L Blueprint
896,"[34, 35, 36, 37, 38]","[520, 100, 2, 2, 2]",900,315,315,720,200,195,100,5,Nuclear L Blueprint
897,"[34, 35]","[511, 428]",900,315,315,720,200,196,100,2,Proton L Blueprint
898,"[34, 35]","[458, 580]",900,315,315,720,200,197,100,2,Depleted Uranium L Blueprint
899,"[34, 35, 36]","[1040, 156, 104]",900,315,315,720,200,198,100,3,Titanium Sabot L Blueprint
900,"[34, 35, 36]","[1236, 223, 110]",900,315,315,720,200,199,100,3,Fusion L Blueprint
901,"[34, 36, 37]","[1529, 89, 23]",900,315,315,720,200,200,100,3,Phased Plasma L Blueprint
902,"[34, 35, 36, 37]","[1778, 127, 89, 29]",900,315,315,720,200,201,100,4,EMP L Blueprint
936,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,589,1,4,Executioner Blueprint
937,"[34, 35, 36, 37]","[24000, 4500, 1875, 375]",6000,2100,2100,4800,30,590,1,4,Inquisitor Blueprint
938,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,591,1,4,Tormentor Blueprint
939,"[34, 35, 36, 37]","[24000, 4500, 1875, 375]",6000,2100,2100,4800,30,592,1,4,Navitas Blueprint
940,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,593,1,4,Tristan Blueprint
941,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,594,1,4,Incursus Blueprint
944,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,597,1,4,Punisher Blueprint
945,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,598,1,4,Breacher Blueprint
946,"[34, 35, 36, 37]","[24000, 4500, 1875, 375]",6000,2100,2100,4800,30,599,1,4,Burst Blueprint
949,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,602,1,4,Kestrel Blueprint
950,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,603,1,4,Merlin Blueprint
952,"[34, 35, 36, 37]","[35200, 6600, 2750, 550]",6000,2100,2100,4800,30,605,1,4,Heron Blueprint
954,"[34, 35, 36, 37]","[35200, 6600, 2750, 550]",6000,2100,2100,4800,30,607,1,4,Imicus Blueprint
955,"[34, 35, 36, 37]","[32000, 6000, 2500, 500]",6000,2100,2100,4800,30,608,1,4,Atron Blueprint
956,"[34, 35, 36, 37]","[24000, 4500, 1875, 375]",6000,2100,2100,4800,30,609,1,4,Maulus Blueprint
967,[34],[2778],6000,2100,2100,4800,30,672,1,1,Caldari Shuttle Blueprint
968,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,623,1,7,Moa Blueprint
969,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,624,1,7,Maller Blueprint
970,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,625,1,7,Augoror Blueprint
971,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,626,1,7,Vexor Blueprint
972,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,627,1,7,Thorax Blueprint
973,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,628,1,7,Arbitrator Blueprint
974,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,629,1,7,Rupture Blueprint
975,"[34, 35, 36, 37, 38, 39, 40]","[540000, 180000, 36000, 10000, 1500, 350, 140]",12000,4200,4200,9600,10,630,1,7,Bellicose Blueprint
976,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,631,1,7,Scythe Blueprint
977,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,632,1,7,Blackbird Blueprint
978,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,633,1,7,Celestis Blueprint
979,"[34, 35, 36, 37, 38, 39, 40]","[405000, 135000, 27000, 7500, 1125, 263, 105]",12000,4200,4200,9600,10,634,1,7,Exequror Blueprint
983,"[34, 35, 36, 37, 38, 39, 40]","[80000, 15000, 3750, 2000, 750, 125, 70]",12000,4200,4200,9600,10,648,1,7,Badger Blueprint
984,"[34, 35, 36, 37, 38, 39, 40]","[80000, 15000, 3750, 2000, 750, 125, 70]",12000,4200,4200,9600,10,649,1,7,Tayra Blueprint
985,"[34, 35, 36, 37, 38, 39, 40]","[80000, 15000, 3750, 2000, 750, 125, 70]",12000,4200,4200,9600,10,650,1,7,Nereus Blueprint
986,"[34, 35, 36, 37, 38, 39, 40]","[80000, 15000, 3750, 2000, 750, 125, 70]",12000,4200,4200,9600,10,651,1,7,Hoarder Blueprint
987,"[34, 35, 36, 37, 38, 39, 40]","[80000, 15000, 3750, 2000, 750, 125, 70]",12000,4200,4200,9600,10,652,1,7,Mammoth Blueprint
988,"[34, 35, 36, 37, 38, 39, 40]","[80000, 15000, 3750, 2000, 750, 125, 70]",12000,4200,4200,9600,10,653,1,7,Wreathe Blueprint
