id,blueprint_id,volume,name
34,0,0.01,Tritanium
35,0,0.01,Pyerite
36,0,0.01,Mexallon
37,0,0.01,Isogen
38,0,0.01,Nocxium
39,0,0.01,Zydrine
40,0,0.01,Megacyte
41,0,0.25,Garbage
42,0,0.5,Spiced Wine
44,0,1.5,Enriched Uranium
178,879,0.0025,Carbonized Lead S
179,880,0.0025,Nuclear S
180,881,0.0025,Proton S
181,882,0.0025,Depleted Uranium S
182,883,0.0025,Titanium Sabot S
183,884,0.0025,Fusion S
184,885,0.0025,Phased Plasma S
185,886,0.0025,EMP S
186,887,0.0125,Carbonized Lead M
187,888,0.0125,Nuclear M
188,889,0.0125,Proton M
189,890,0.0125,Depleted Uranium M
190,891,0.0125,Titanium Sabot M
191,892,0.0125,Fusion M
192,893,0.0125,Phased Plasma M
193,894,0.0125,EMP M
194,895,0.025,Carbonized Lead L
195,896,0.025,Nuclear L
196,897,0.025,Proton L
197,898,0.025,Depleted Uranium L
198,899,0.025,Titanium Sabot L
199,900,0.025,Fusion L
200,901,0.025,Phased Plasma L
201,902,0.025,EMP L
202,803,0.05,Mjolnir Cruise Missile
203,804,0.05,Scourge Cruise Missile
204,805,0.05,Inferno Cruise Missile
205,806,0.05,Nova Cruise Missile
206,807,0.03,Nova Heavy Missile
207,808,0.03,Mjolnir Heavy Missile
208,809,0.03,Inferno Heavy Missile
209,810,0.03,Scourge Heavy Missile
210,811,0.015,Scourge Light Missile
211,812,0.015,Inferno Light Missile
212,813,0.015,Mjolnir Light Missile
213,814,0.015,Nova Light Missile
215,1130,0.0025,Iron Charge S
216,1131,0.0025,Tungsten Charge S
217,1132,0.0025,Iridium Charge S
218,1133,0.0025,Lead Charge S
219,1134,0.0025,Thorium Charge S
220,1135,0.0025,Uranium Charge S
221,1136,0.0025,Plutonium Charge S
222,1137,0.0025,Antimatter Charge S
223,1138,0.0125,Iron Charge M
224,1139,0.0125,Tungsten Charge M
225,1140,0.0125,Iridium Charge M
226,1141,0.0125,Lead Charge M
227,1142,0.0125,Thorium Charge M
228,1143,0.0125,Uranium Charge M
229,1144,0.0125,Plutonium Charge M
230,1145,0.0125,Antimatter Charge M
231,1146,0.025,Iron Charge L
232,1147,0.025,Tungsten Charge L
233,1148,0.025,Iridium Charge L
234,1149,0.025,Lead Charge L
235,1150,0.025,Thorium Charge L
236,1151,0.025,Uranium Charge L
237,1152,0.025,Plutonium Charge L
238,1153,0.025,Antimatter Charge L
239,1154,1.0,Radio S
240,1155,1.0,Microwave S
241,1156,1.0,Infrared S
242,1157,1.0,Standard S
243,1158,1.0,Ultraviolet S
244,1159,1.0,Xray S
245,1160,1.0,Gamma S
246,1161,1.0,Multifrequency S
247,1162,1.0,Radio M
248,1163,1.0,Microwave M
249,1164,1.0,Infrared M
250,1165,1.0,Standard M
251,1166,1.0,Ultraviolet M
252,1167,1.0,Xray M
253,1168,1.0,Gamma M
254,1169,1.0,Multifrequency M
255,1170,1.0,Radio L
256,1171,1.0,Microwave L
257,1172,1.0,Infrared L
258,1173,1.0,Standard L
259,1174,1.0,Ultraviolet L
260,1175,1.0,Xray L
261,1176,1.0,Gamma L
262,1177,1.0,Multifrequency L
263,1178,1.0,Cap Booster 25
264,1179,2.0,Cap Booster 50
266,1220,0.005,Scourge Rocket
267,1221,0.05,Scourge Torpedo
269,1216,0.015,Mjolnir Auto-Targeting Light Missile I
377,1010,5.0,Small Shield Extender I
380,1013,5.0,Small Shield Extender II
393,1026,5.0,Shield Recharger I
394,1027,5.0,Shield Recharger II
399,1032,5.0,Small Shield Booster I
400,1033,5.0,Small Shield Booster II
434,1067,10.0,5MN Microwarpdrive I
438,1071,5.0,1MN Afterburner II
439,1072,5.0,1MN Afterburner I
440,1073,10.0,5MN Microwarpdrive II
442,1074,5.0,Cargo Scanner I
443,1075,5.0,Ship Scanner I
444,1076,5.0,Survey Scanner I
447,1079,5.0,Warp Scrambler I
448,1080,5.0,Warp Scrambler II
450,834,5.0,Gatling Pulse Laser I
451,835,5.0,Dual Light Pulse Laser I
452,836,5.0,Dual Light Beam Laser I
453,837,5.0,Small Focused Pulse Laser I
454,838,5.0,Small Focused Beam Laser I
455,839,10.0,Quad Light Beam Laser I
456,840,10.0,Focused Medium Pulse Laser I
457,841,10.0,Focused Medium Beam Laser I
458,842,25.0,Heavy Pulse Laser I
459,843,25.0,Heavy Beam Laser I
460,844,20.0,Dual Heavy Pulse Laser I
461,845,50.0,Dual Heavy Beam Laser I
462,846,50.0,Mega Pulse Laser I
463,847,50.0,Mega Beam Laser I
464,848,50.0,Tachyon Beam Laser I
482,784,5.0,Miner II
483,785,5.0,Miner I
484,819,5.0,125mm Gatling AutoCannon I
485,820,5.0,150mm Light AutoCannon I
486,821,5.0,200mm AutoCannon I
487,822,5.0,250mm Light Artillery Cannon I
488,823,5.0,280mm Howitzer Artillery I
489,824,10.0,Dual 180mm AutoCannon I
490,825,10.0,220mm Vulcan AutoCannon I
491,826,10.0,425mm AutoCannon I
492,827,25.0,650mm Artillery Cannon I
493,828,25.0,720mm Howitzer Artillery I
494,829,20.0,Dual 425mm AutoCannon I
495,830,50.0,Dual 650mm Repeating Cannon I
496,831,25.0,800mm Repeating Cannon I
497,832,50.0,1200mm Artillery Cannon I
498,833,50.0,1400mm Howitzer Artillery I
499,786,5.0,Light Missile Launcher I
501,788,10.0,Heavy Missile Launcher I
503,790,20.0,Torpedo Launcher I
