typeID,activityID,skillID,level
32773,1,3380,1
32775,1,3380,1
32781,1,3380,1
32783,1,3380,1
32789,1,3380,1
32791,1,3380,1
32800,1,3380,5
32802,1,3380,5
32804,1,3380,5
32810,1,3380,1
32818,4,3409,1
32818,4,26252,1
32818,3,3403,1
32818,3,26252,1
32818,1,3380,1
32818,1,26252,1
32820,4,3409,1
32820,4,26252,1
32820,3,3403,1
32820,3,26252,1
32820,1,3380,1
32820,1,26252,1
32839,1,3380,1
32841,1,3380,1
32843,1,3380,1
32845,1,3380,1
32847,1,3380,1
32849,1,3380,1
32854,1,3380,1
32855,1,3380,1
32858,1,3380,4
32859,1,3380,1
32860,1,3380,1
32861,1,3380,1
32862,1,3380,1
32863,1,3380,1
32864,1,3380,1
32865,1,3380,1
32866,1,3380,1
32867,1,3380,1
32868,1,3380,1
32869,1,3380,1
32870,1,3380,1
32871,1,3380,4
32873,1,3380,1
32873,8,11433,1
32873,8,11450,1
32873,8,23121,1
32875,1,3380,1
32875,8,11433,1
32875,8,11444,1
32875,8,23087,1
32877,1,3380,1
32877,8,11433,1
32877,8,11454,1
32877,8,21790,1
32879,1,3380,1
32879,8,11433,1
32879,8,11445,1
32879,8,21791,1
32881,1,3380,1
32881,8,11447,1
32881,8,11450,1
32881,8,23121,1
32982,1,3380,1
32982,8,11446,1
32982,8,11453,1
32982,8,23121,1
32988,1,3380,1
33004,1,3380,1
33006,1,3380,1
33008,1,3380,1
33010,1,3380,1
33012,1,3380,1
33067,1,3380,5
33077,1,3380,1
33102,1,3380,1
33104,1,3380,1
33150,1,3380,5
33152,1,3380,1
33154,1,3380,1
33156,1,3380,1
33158,1,3380,1
33177,1,3380,1
33177,8,11448,1
33177,8,11453,1
33177,8,21790,1
33179,1,3380,1
33179,8,11448,1
33179,8,11453,1
33179,8,21790,1
33181,1,3380,1
33181,8,11448,1
33181,8,11453,1
33181,8,21790,1
33198,4,3409,5
33198,4,11448,1
33198,4,11453,1
33198,3,3403,5
33198,3,11448,1
33198,3,11453,1
33198,1,3380,5
33198,1,11448,1
33198,1,11453,1
33198,5,11448,1
33198,5,11453,1
33200,4,3409,5
33200,4,11448,1
33200,4,11453,1
33200,3,3403,5
33200,3,11448,1
33200,3,11453,1
33200,1,3380,5
33200,1,11448,1
33200,1,11453,1
33200,5,11448,1
33200,5,11453,1
33202,4,3409,5
33202,4,11448,1
33202,4,11453,1
